,Unnamed: 0,Step,Selected Workload,Number of Represented Workload-Expcific Influences,Information Loss Within Remaining Influences,Information Loss,Information Loss Reduction,Unfinished Options,Unrepresented Envs,Expected Information Loss Remaining Per Option Per Env,Relative Number of Represented Workload-Expcific Influences,newStep
0,0,0,No workloads,,Infinity,Infinity,,31,12,,,-1
1,1,1,uiq-32.bin,330,73.2617020385512,106.70413396222264,,14,11,1.7443262390131236,0.0739247311827957,0
2,2,2,misc.tar,28,22.66710699753039,33.24358485748216,50.59459504102082,5,9,3.806719060804263,0.0062724014336917,1
3,3,3,vmlinux-5.10.tar,8,7.342845254155634,12.669889378662733,15.324261743374755,3,6,2.9048529210073184,0.0017921146953405,2
4,4,4,large.tar,2,3.961353290853792,8.857633363816449,3.3814919633018423,3,4,3.3384751604136835,0.0004480286738351,3
5,5,5,uiq2-16.bin,2,1.420722252437463,5.764211448624399,2.5406310384163286,2,2,3.4439155334077123,0.0004480286738351,4
6,6,6,ambivert.wav.tar,2,0,3.802517140713784,1.420722252437463,0,0,0,0.0004480286738351,5
