,option,env,represented_by_env,kld
87,encryption,artificl.tar,vmlinux-5.10.tar,1.772101847668159
88,encryption,artificl.tar,silesia.tar,1.3268260626386477
89,encryption,artificl.tar,deepfield.tar,1.7259152856799345
90,encryption,artificl.tar,uiq2-16.bin,0.8920891875933474
91,encryption,uiq2-4.bin,ambivert.wav.tar,0.17958247194250154
92,encryption,uiq2-4.bin,enwik8.tar,0.5030949915857628
93,encryption,uiq2-4.bin,misc.tar,3.0579911213710576
94,encryption,uiq2-4.bin,fannie_mae_500k.tar,0.18952774361538557
95,encryption,uiq2-4.bin,uiq2-8.bin,0.0
96,encryption,uiq2-4.bin,large.tar,0.5513756360501679
97,encryption,uiq2-4.bin,artificl.tar,2.6993801073965225
98,encryption,uiq2-4.bin,uiq2-4.bin,0.0
99,encryption,uiq2-4.bin,uiq-32.bin,0.0
100,encryption,uiq2-4.bin,vmlinux-5.10.tar,0.0
101,encryption,uiq2-4.bin,silesia.tar,0.0
102,encryption,uiq2-4.bin,deepfield.tar,0.0
103,encryption,uiq2-4.bin,uiq2-16.bin,0.07704698705724809
104,encryption,uiq-32.bin,ambivert.wav.tar,0.1526959602401307
105,encryption,uiq-32.bin,enwik8.tar,0.32400589088086884
106,encryption,uiq-32.bin,misc.tar,2.348854896999315
107,encryption,uiq-32.bin,fannie_mae_500k.tar,0.0213310179713624
108,encryption,uiq-32.bin,uiq2-8.bin,0.0
109,encryption,uiq-32.bin,large.tar,0.2994520332393731
110,encryption,uiq-32.bin,artificl.tar,2.092640774936303
111,encryption,uiq-32.bin,uiq2-4.bin,0.0
112,encryption,uiq-32.bin,uiq-32.bin,0.0
113,encryption,uiq-32.bin,vmlinux-5.10.tar,0.0
114,encryption,uiq-32.bin,silesia.tar,0.0
115,encryption,uiq-32.bin,deepfield.tar,0.0
116,encryption,uiq-32.bin,uiq2-16.bin,0.0
117,encryption,vmlinux-5.10.tar,ambivert.wav.tar,0.4675971556113119
118,encryption,vmlinux-5.10.tar,enwik8.tar,0.5984724898660758
119,encryption,vmlinux-5.10.tar,misc.tar,3.0335834840628126
120,encryption,vmlinux-5.10.tar,fannie_mae_500k.tar,0.24462005384503302
121,encryption,vmlinux-5.10.tar,uiq2-8.bin,0.11440759503089418
122,encryption,vmlinux-5.10.tar,large.tar,0.4890458023826979
123,encryption,vmlinux-5.10.tar,artificl.tar,2.666249867729727
124,encryption,vmlinux-5.10.tar,uiq2-4.bin,0.09235497074467075
