,option,env,represented_by_env,kld
87,crc64,ambivert.wav.tar,silesia.tar,0.09334819707641233
88,crc64,ambivert.wav.tar,uiq2-4.bin,0.09122682497557696
89,crc64,ambivert.wav.tar,large.tar,0.08505254643354469
90,crc64,ambivert.wav.tar,uiq2-16.bin,0.18853884448196395
91,crc64,ambivert.wav.tar,ambivert.wav.tar,0.0
92,crc64,ambivert.wav.tar,deepfield.tar,0.1870383046692288
93,crc64,ambivert.wav.tar,uiq-32.bin,0.9188333163282911
94,crc64,ambivert.wav.tar,uiq2-8.bin,0.07105238052736985
95,crc64,ambivert.wav.tar,fannie_mae_500k.tar,0.5463953990109074
96,crc64,deepfield.tar,misc.tar,0.0
97,crc64,deepfield.tar,vmlinux-5.10.tar,1.6216168053058753
98,crc64,deepfield.tar,enwik8.tar,0.004770615352001826
99,crc64,deepfield.tar,silesia.tar,0.0
100,crc64,deepfield.tar,uiq2-4.bin,0.0
101,crc64,deepfield.tar,large.tar,0.2662681706049813
102,crc64,deepfield.tar,uiq2-16.bin,0.0
103,crc64,deepfield.tar,ambivert.wav.tar,0.3214371468207766
104,crc64,deepfield.tar,deepfield.tar,0.0
105,crc64,deepfield.tar,uiq-32.bin,0.2525892704501954
106,crc64,deepfield.tar,uiq2-8.bin,0.0751678873815835
107,crc64,deepfield.tar,fannie_mae_500k.tar,0.09198627604626955
108,crc64,uiq-32.bin,misc.tar,0.0
109,crc64,uiq-32.bin,vmlinux-5.10.tar,2.831174983917593
110,crc64,uiq-32.bin,enwik8.tar,0.23077228644874545
111,crc64,uiq-32.bin,silesia.tar,0.11951581344375958
112,crc64,uiq-32.bin,uiq2-4.bin,0.05981896877251167
113,crc64,uiq-32.bin,large.tar,0.7149809982529052
114,crc64,uiq-32.bin,uiq2-16.bin,0.012605233771052993
115,crc64,uiq-32.bin,ambivert.wav.tar,0.8302177643044787
116,crc64,uiq-32.bin,deepfield.tar,0.0417090677546804
117,crc64,uiq-32.bin,uiq-32.bin,0.0
118,crc64,uiq-32.bin,uiq2-8.bin,0.3526835225348212
119,crc64,uiq-32.bin,fannie_mae_500k.tar,0.057433279214831504
120,crc64,uiq2-8.bin,misc.tar,0.0
121,crc64,uiq2-8.bin,vmlinux-5.10.tar,1.187052716114886
122,crc64,uiq2-8.bin,enwik8.tar,0.06616279617798347
123,crc64,uiq2-8.bin,silesia.tar,0.0
