,Unnamed: 0,Step,Selected Workload,Number of Represented Workload-Expcific Influences,Information Loss Within Remaining Influences,Information Loss,Information Loss Reduction,Unfinished Options,Unrepresented Envs,Expected Information Loss Remaining Per Option Per Env,Relative Number of Represented Workload-Expcific Influences,newStep
0,0,0,No workloads,,Infinity,Infinity,,16,12,,,-1
1,1,1,png-medium,155,148.4358875847857,154.71496188223836,,16,11,4.0117807455347485,0.0672743055555555,0
2,2,2,psd-large,26,25.597432657814224,28.01137186060692,122.83845492697148,4,6,4.355420569304632,0.0112847222222222,1
3,3,3,svg-small,3,13.81323723958954,15.5629325467023,11.784195418224684,4,4,4.689043038578961,0.0013020833333333,2
4,4,4,png-small,5,3.797773290117901,4.806848370853122,10.01546394947164,2,2,4.233779632557317,0.0021701388888888,3
5,5,5,psd-medium,2,1.1804753727208963,1.9904472324988556,2.6172979173970043,1,1,6.333118897239361,0.0008680555555555,4
6,6,6,svg-medium,1,0,0.8099718597779586,1.1804753727208963,0,0,0,0.0004340277777777,5
