,Unnamed: 0,Step,Selected Workload,Number of Represented Workload-Expcific Influences,Information Loss Within Remaining Influences,Information Loss,Information Loss Reduction,Unfinished Options,Unrepresented Envs,Expected Information Loss Remaining Per Option Per Env,Relative Number of Represented Workload-Expcific Influences,newStep
0,0,0,No workloads,,Infinity,Infinity,,26,9,,,-1
1,1,1,sd_crew_cif_short.y4m,221,13.124759911201132,28.42759411753968,,7,6,1.0095969162462408,0.1049382716049382,0
2,2,2,Johnny_1280x720_60_short.y4m,12,0.6174011610131463,10.011270984242469,12.507358750187985,1,1,1.039337169427644,0.0056980056980056,1
3,3,3,pedestrian_area_1080p25_short.y4m,1,0,5.314885482105903,0.6174011610131463,0,0,0,0.0004748338081671,2
