,Unnamed: 0,Step,Selected Workload,Number of Represented Workload-Expcific Influences,Information Loss Within Remaining Influences,Information Loss,Information Loss Reduction,Unfinished Options,Unrepresented Envs,Expected Information Loss Remaining Per Option Per Env,Relative Number of Represented Workload-Expcific Influences,newStep
0,0,0,No workloads,,Infinity,Infinity,,16,8,,,-1
1,1,1,voter-2,105,47.55091129834548,54.46169420492046,,9,7,2.0674309260150205,0.1025390625,0
2,2,2,ycsb-600,8,18.36381561640232,25.53746509811756,29.18709568194316,7,5,2.470604479565109,0.0078125,1
3,3,3,smallbank-1,8,7.958971937387823,11.713209622807405,10.404843679014494,4,3,2.9176121959996038,0.0078125,2
4,4,4,smallbank-10,3,4.544900905346876,7.405939928156156,3.4140710320409475,3,2,3.130926658290859,0.0029296875,3
5,5,5,voter-16,3,2.053708952185969,2.097339790758784,2.491191953160907,1,1,3.856763511154366,0.0029296875,4
6,6,6,tpcc-8,1,0,0.0436308385728144,2.053708952185969,0,0,0,0.0009765625,5
