,Unnamed: 0,params.rnd,Model,Subject System,params.exp_id,params.train_size,Relative Train Size,Pooling,params.experiment-type,Metric,Value
108000,2,11,$\tilde{\Pi}^\mathit{pp}_B$,dconvert,uncertainty-learning-2024-05-29_22-59-58-full-run,48,3,partial,multitask,pMAPE,3.7403546568122703
108001,5,21,$\tilde{\Pi}^\mathit{cp}_B$,VP9,uncertainty-learning-2024-05-29_22-59-58-full-run,32,2,complete,multitask,pMAPE,31.637738354019344
108002,6,7,$\tilde{\Pi}^\mathit{pp}_B$,batik,uncertainty-learning-2024-05-29_22-59-58-full-run,20,2,partial,multitask,pMAPE,10.84758732104771
108003,8,20,$\tilde{\Pi}^\mathit{pp}_B$,dconvert,uncertainty-learning-2024-05-29_22-59-58-full-run,12,0.75,partial,multitask,pMAPE,5.079986651858276
108004,9,3,$\tilde{\Pi}^\mathit{pp}_B$,x264,uncertainty-learning-2024-05-29_22-59-58-full-run,52,2,partial,multitask,pMAPE,45.21882267263559
108005,10,3,$\tilde{\Pi}^\mathit{np}_B$,H2,uncertainty-learning-2024-05-29_22-59-58-full-run,24,1.5,no,multitask,pMAPE,7.557855987011693
108006,12,26,$\tilde{\Pi}^\mathit{cp}_B$,VP9,uncertainty-learning-2024-05-29_22-59-58-full-run,24,1.5,complete,multitask,pMAPE,45.87775857154774
108007,13,20,$\tilde{\Pi}^\mathit{pp}_B$,H2,uncertainty-learning-2024-05-29_22-59-58-full-run,2,0.125,partial,multitask,pMAPE,13.04717449150791
108008,15,28,$\tilde{\Pi}^\mathit{cp}_B$,lrzip,uncertainty-learning-2024-05-29_22-59-58-full-run,33,3,complete,multitask,pMAPE,122.82292433187708
108009,16,16,$\tilde{\Pi}^\mathit{pp}_B$,batik,uncertainty-learning-2024-05-29_22-59-58-full-run,7,0.75,partial,multitask,pMAPE,11.191531118780333
108010,17,26,$\tilde{\Pi}^\mathit{cp}_B$,x265,uncertainty-learning-2024-05-29_22-59-58-full-run,24,1.5,complete,multitask,pMAPE,41.60434979060138
108011,18,12,$\tilde{\Pi}^\mathit{cp}_B$,dconvert,uncertainty-learning-2024-05-29_22-59-58-full-run,4,0.25,complete,multitask,pMAPE,7.750981501412594
108012,19,5,$\tilde{\Pi}^\mathit{pp}_B$,jump3r,uncertainty-learning-2024-05-29_22-59-58-full-run,28,1.5,partial,multitask,pMAPE,15.057516463942516
108013,20,19,$\tilde{\Pi}^\mathit{cp}_B$,xz,uncertainty-learning-2024-05-29_22-59-58-full-run,15,0.5,complete,multitask,pMAPE,48.42329547118033
108014,21,18,$\tilde{\Pi}^\mathit{np}_B$,dconvert,uncertainty-learning-2024-05-29_22-59-58-full-run,4,0.25,no,multitask,pMAPE,9.672731777647774
108015,24,0,$\tilde{\Pi}^\mathit{np}_B$,VP9,uncertainty-learning-2024-05-29_22-59-58-full-run,12,0.75,no,multitask,pMAPE,89.8159974926769
108016,25,24,$\tilde{\Pi}^\mathit{pp}_B$,batik,uncertainty-learning-2024-05-29_22-59-58-full-run,1,0.125,partial,multitask,pMAPE,19.90733192789889
108017,28,4,$\tilde{\Pi}^\mathit{pp}_B$,batik,uncertainty-learning-2024-05-29_22-59-58-full-run,30,3,partial,multitask,pMAPE,8.958725328840318
108018,29,23,$\tilde{\Pi}^\mathit{np}_B$,batik,uncertainty-learning-2024-05-29_22-59-58-full-run,7,0.75,no,multitask,pMAPE,17.355474486574064
108019,30,17,$\tilde{\Pi}^\mathit{cp}_B$,VP9,uncertainty-learning-2024-05-29_22-59-58-full-run,16,1,complete,multitask,pMAPE,25.886756940624323
108020,32,28,$\tilde{\Pi}^\mathit{pp}_B$,xz,uncertainty-learning-2024-05-29_22-59-58-full-run,93,3,partial,multitask,pMAPE,64.90771449557626
108021,37,15,$\tilde{\Pi}^\mathit{cp}_B$,x265,uncertainty-learning-2024-05-29_22-59-58-full-run,12,0.75,complete,multitask,pMAPE,39.71606128066358
108022,40,22,$\tilde{\Pi}^\mathit{cp}_B$,x265,uncertainty-learning-2024-05-29_22-59-58-full-run,12,0.75,complete,multitask,pMAPE,42.04791977923906
108023,41,18,$\tilde{\Pi}^\mathit{cp}_B$,dconvert,uncertainty-learning-2024-05-29_22-59-58-full-run,8,0.5,complete,multitask,pMAPE,7.990784914063291
108024,44,27,$\tilde{\Pi}^\mathit{np}_B$,x264,uncertainty-learning-2024-05-29_22-59-58-full-run,6,0.25,no,multitask,pMAPE,99.93231050464848
108025,46,21,$\tilde{\Pi}^\mathit{cp}_B$,dconvert,uncertainty-learning-2024-05-29_22-59-58-full-run,4,0.25,complete,multitask,pMAPE,10.029897507264302
108026,47,14,$\tilde{\Pi}^\mathit{cp}_B$,lrzip,uncertainty-learning-2024-05-29_22-59-58-full-run,8,0.75,complete,multitask,pMAPE,155.2455639967775
108027,48,21,$\tilde{\Pi}^\mathit{np}_B$,VP9,uncertainty-learning-2024-05-29_22-59-58-full-run,2,0.125,no,multitask,pMAPE,150.7152076562432
108028,53,17,$\tilde{\Pi}^\mathit{cp}_B$,batik,uncertainty-learning-2024-05-29_22-59-58-full-run,20,2,complete,multitask,pMAPE,16.331324786905558
108029,54,0,$\tilde{\Pi}^\mathit{cp}_B$,VP9,uncertainty-learning-2024-05-29_22-59-58-full-run,32,2,complete,multitask,pMAPE,24.22508796843692
108030,57,23,$\tilde{\Pi}^\mathit{np}_B$,VP9,uncertainty-learning-2024-05-29_22-59-58-full-run,48,3,no,multitask,pMAPE,39.061875708941095
108031,59,27,$\tilde{\Pi}^\mathit{np}_B$,H2,uncertainty-learning-2024-05-29_22-59-58-full-run,12,0.75,no,multitask,pMAPE,8.429115893255686
108032,60,6,$\tilde{\Pi}^\mathit{cp}_B$,dconvert,uncertainty-learning-2024-05-29_22-59-58-full-run,12,0.75,complete,multitask,pMAPE,6.1482332178197625
108033,63,26,$\tilde{\Pi}^\mathit{pp}_B$,z3,uncertainty-learning-2024-05-29_22-59-58-full-run,1,0.125,partial,multitask,pMAPE,1745.084261242292
108034,65,8,$\tilde{\Pi}^\mathit{np}_B$,x264,uncertainty-learning-2024-05-29_22-59-58-full-run,78,3,no,multitask,pMAPE,51.26818748992269
108035,66,11,$\tilde{\Pi}^\mathit{cp}_B$,x265,uncertainty-learning-2024-05-29_22-59-58-full-run,48,3,complete,multitask,pMAPE,38.56943488465542
108036,67,13,$\tilde{\Pi}^\mathit{np}_B$,VP9,uncertainty-learning-2024-05-29_22-59-58-full-run,16,1,no,multitask,pMAPE,104.63304727249248
108037,68,0,$\tilde{\Pi}^\mathit{np}_B$,H2,uncertainty-learning-2024-05-29_22-59-58-full-run,4,0.25,no,multitask,pMAPE,12.102041696028184
108038,69,6,$\tilde{\Pi}^\mathit{np}_B$,x265,uncertainty-learning-2024-05-29_22-59-58-full-run,8,0.5,no,multitask,pMAPE,61.40881671844654
108039,72,3,$\tilde{\Pi}^\mathit{pp}_B$,lrzip,uncertainty-learning-2024-05-29_22-59-58-full-run,33,3,partial,multitask,pMAPE,119.37038024556956
108040,74,11,$\tilde{\Pi}^\mathit{pp}_B$,dconvert,uncertainty-learning-2024-05-29_22-59-58-full-run,2,0.125,partial,multitask,pMAPE,14.436947784580598
108041,75,7,$\tilde{\Pi}^\mathit{pp}_B$,x264,uncertainty-learning-2024-05-29_22-59-58-full-run,6,0.25,partial,multitask,pMAPE,45.71473410381674
108042,79,10,$\tilde{\Pi}^\mathit{np}_B$,x264,uncertainty-learning-2024-05-29_22-59-58-full-run,19,0.75,no,multitask,pMAPE,59.13216433864671
108043,81,12,$\tilde{\Pi}^\mathit{np}_B$,batik,uncertainty-learning-2024-05-29_22-59-58-full-run,7,0.75,no,multitask,pMAPE,13.666588995007436
108044,82,17,$\tilde{\Pi}^\mathit{cp}_B$,dconvert,uncertainty-learning-2024-05-29_22-59-58-full-run,24,1.5,complete,multitask,pMAPE,6.57413126553474
108045,83,17,$\tilde{\Pi}^\mathit{cp}_B$,jump3r,uncertainty-learning-2024-05-29_22-59-58-full-run,19,1,complete,multitask,pMAPE,17.120214470107182
108046,84,21,$\tilde{\Pi}^\mathit{np}_B$,VP9,uncertainty-learning-2024-05-29_22-59-58-full-run,16,1,no,multitask,pMAPE,106.8096049948829
108047,89,15,$\tilde{\Pi}^\mathit{np}_B$,batik,uncertainty-learning-2024-05-29_22-59-58-full-run,30,3,no,multitask,pMAPE,10.448237255543988
108048,94,2,$\tilde{\Pi}^\mathit{cp}_B$,VP9,uncertainty-learning-2024-05-29_22-59-58-full-run,32,2,complete,multitask,pMAPE,35.11961935579201
108049,96,12,$\tilde{\Pi}^\mathit{cp}_B$,xz,uncertainty-learning-2024-05-29_22-59-58-full-run,7,0.25,complete,multitask,pMAPE,62.91427316627397
108050,99,13,$\tilde{\Pi}^\mathit{pp}_B$,jump3r,uncertainty-learning-2024-05-29_22-59-58-full-run,9,0.5,partial,multitask,pMAPE,19.903855858542048
108051,100,20,$\tilde{\Pi}^\mathit{pp}_B$,lrzip,uncertainty-learning-2024-05-29_22-59-58-full-run,2,0.25,partial,multitask,pMAPE,155.4214529645307
108052,103,7,$\tilde{\Pi}^\mathit{pp}_B$,dconvert,uncertainty-learning-2024-05-29_22-59-58-full-run,4,0.25,partial,multitask,pMAPE,7.020094408276723
108053,105,21,$\tilde{\Pi}^\mathit{cp}_B$,batik,uncertainty-learning-2024-05-29_22-59-58-full-run,7,0.75,complete,multitask,pMAPE,15.040054969793037
108054,106,26,$\tilde{\Pi}^\mathit{pp}_B$,H2,uncertainty-learning-2024-05-29_22-59-58-full-run,32,2,partial,multitask,pMAPE,6.369891111223525
108055,107,9,$\tilde{\Pi}^\mathit{np}_B$,x264,uncertainty-learning-2024-05-29_22-59-58-full-run,13,0.5,no,multitask,pMAPE,83.14979142915404
108056,108,15,$\tilde{\Pi}^\mathit{pp}_B$,xz,uncertainty-learning-2024-05-29_22-59-58-full-run,15,0.5,partial,multitask,pMAPE,67.64356811257683
108057,113,10,$\tilde{\Pi}^\mathit{pp}_B$,x264,uncertainty-learning-2024-05-29_22-59-58-full-run,3,0.125,partial,multitask,pMAPE,99.95097194932664
108058,114,4,$\tilde{\Pi}^\mathit{pp}_B$,x264,uncertainty-learning-2024-05-29_22-59-58-full-run,52,2,partial,multitask,pMAPE,48.57888407069634
108059,115,13,$\tilde{\Pi}^\mathit{np}_B$,jump3r,uncertainty-learning-2024-05-29_22-59-58-full-run,4,0.25,no,multitask,pMAPE,41.34581822713667
108060,117,12,$\tilde{\Pi}^\mathit{pp}_B$,z3,uncertainty-learning-2024-05-29_22-59-58-full-run,9,0.75,partial,multitask,pMAPE,168.8611829133973
108061,119,9,$\tilde{\Pi}^\mathit{pp}_B$,dconvert,uncertainty-learning-2024-05-29_22-59-58-full-run,24,1.5,partial,multitask,pMAPE,4.01415412090276
108062,120,21,$\tilde{\Pi}^\mathit{cp}_B$,H2,uncertainty-learning-2024-05-29_22-59-58-full-run,2,0.125,complete,multitask,pMAPE,18.186918134775063
108063,121,6,$\tilde{\Pi}^\mathit{np}_B$,dconvert,uncertainty-learning-2024-05-29_22-59-58-full-run,16,1,no,multitask,pMAPE,7.65815731940465
108064,123,11,$\tilde{\Pi}^\mathit{cp}_B$,batik,uncertainty-learning-2024-05-29_22-59-58-full-run,2,0.25,complete,multitask,pMAPE,23.52105157527027
108065,124,5,$\tilde{\Pi}^\mathit{np}_B$,jump3r,uncertainty-learning-2024-05-29_22-59-58-full-run,28,1.5,no,multitask,pMAPE,20.16881460775112
108066,126,9,$\tilde{\Pi}^\mathit{np}_B$,z3,uncertainty-learning-2024-05-29_22-59-58-full-run,1,0.125,no,multitask,pMAPE,66.36574419972006
108067,127,1,$\tilde{\Pi}^\mathit{pp}_B$,VP9,uncertainty-learning-2024-05-29_22-59-58-full-run,24,1.5,partial,multitask,pMAPE,25.409099663964525
108068,128,11,$\tilde{\Pi}^\mathit{cp}_B$,batik,uncertainty-learning-2024-05-29_22-59-58-full-run,1,0.125,complete,multitask,pMAPE,48.2202038285401
108069,129,27,$\tilde{\Pi}^\mathit{cp}_B$,jump3r,uncertainty-learning-2024-05-29_22-59-58-full-run,57,3,complete,multitask,pMAPE,15.244072933646294
108070,130,22,$\tilde{\Pi}^\mathit{pp}_B$,xz,uncertainty-learning-2024-05-29_22-59-58-full-run,31,1,partial,multitask,pMAPE,66.67308082037374
108071,133,14,$\tilde{\Pi}^\mathit{np}_B$,z3,uncertainty-learning-2024-05-29_22-59-58-full-run,6,0.5,no,multitask,pMAPE,264.6073623255995
108072,139,11,$\tilde{\Pi}^\mathit{np}_B$,x264,uncertainty-learning-2024-05-29_22-59-58-full-run,26,1,no,multitask,pMAPE,48.06095717669565
108073,140,17,$\tilde{\Pi}^\mathit{cp}_B$,VP9,uncertainty-learning-2024-05-29_22-59-58-full-run,8,0.5,complete,multitask,pMAPE,30.435882877243536
108074,141,27,$\tilde{\Pi}^\mathit{pp}_B$,z3,uncertainty-learning-2024-05-29_22-59-58-full-run,6,0.5,partial,multitask,pMAPE,320.8464369525634
108075,142,14,$\tilde{\Pi}^\mathit{cp}_B$,z3,uncertainty-learning-2024-05-29_22-59-58-full-run,6,0.5,complete,multitask,pMAPE,299.4080833098512
108076,143,16,$\tilde{\Pi}^\mathit{np}_B$,lrzip,uncertainty-learning-2024-05-29_22-59-58-full-run,2,0.25,no,multitask,pMAPE,109.05081839450452
108077,145,13,$\tilde{\Pi}^\mathit{cp}_B$,dconvert,uncertainty-learning-2024-05-29_22-59-58-full-run,16,1,complete,multitask,pMAPE,5.738590825223589
108078,146,18,$\tilde{\Pi}^\mathit{cp}_B$,z3,uncertainty-learning-2024-05-29_22-59-58-full-run,9,0.75,complete,multitask,pMAPE,247.8538534692252
108079,147,26,$\tilde{\Pi}^\mathit{np}_B$,VP9,uncertainty-learning-2024-05-29_22-59-58-full-run,32,2,no,multitask,pMAPE,64.48022221143124
108080,149,24,$\tilde{\Pi}^\mathit{np}_B$,z3,uncertainty-learning-2024-05-29_22-59-58-full-run,19,1.5,no,multitask,pMAPE,138.11716426461135
108081,150,18,$\tilde{\Pi}^\mathit{pp}_B$,z3,uncertainty-learning-2024-05-29_22-59-58-full-run,1,0.125,partial,multitask,pMAPE,528.5080571215434
108082,153,21,$\tilde{\Pi}^\mathit{cp}_B$,x265,uncertainty-learning-2024-05-29_22-59-58-full-run,32,2,complete,multitask,pMAPE,40.28101159011068
108083,156,29,$\tilde{\Pi}^\mathit{cp}_B$,x264,uncertainty-learning-2024-05-29_22-59-58-full-run,39,1.5,complete,multitask,pMAPE,48.13120400695653
108084,158,24,$\tilde{\Pi}^\mathit{cp}_B$,z3,uncertainty-learning-2024-05-29_22-59-58-full-run,6,0.5,complete,multitask,pMAPE,179.11729622754692
108085,159,1,$\tilde{\Pi}^\mathit{np}_B$,batik,uncertainty-learning-2024-05-29_22-59-58-full-run,7,0.75,no,multitask,pMAPE,13.719113157007117
108086,161,6,$\tilde{\Pi}^\mathit{np}_B$,jump3r,uncertainty-learning-2024-05-29_22-59-58-full-run,57,3,no,multitask,pMAPE,16.29639862798069
108087,162,16,$\tilde{\Pi}^\mathit{pp}_B$,xz,uncertainty-learning-2024-05-29_22-59-58-full-run,15,0.5,partial,multitask,pMAPE,53.403198175088896
108088,163,17,$\tilde{\Pi}^\mathit{cp}_B$,lrzip,uncertainty-learning-2024-05-29_22-59-58-full-run,1,0.125,complete,multitask,pMAPE,352.3914481992296
108089,164,28,$\tilde{\Pi}^\mathit{cp}_B$,z3,uncertainty-learning-2024-05-29_22-59-58-full-run,39,3,complete,multitask,pMAPE,248.7971529255823
108090,165,27,$\tilde{\Pi}^\mathit{pp}_B$,x265,uncertainty-learning-2024-05-29_22-59-58-full-run,32,2,partial,multitask,pMAPE,38.40947511787802
108091,167,21,$\tilde{\Pi}^\mathit{np}_B$,batik,uncertainty-learning-2024-05-29_22-59-58-full-run,2,0.25,no,multitask,pMAPE,15.7455498385831
108092,169,27,$\tilde{\Pi}^\mathit{cp}_B$,x265,uncertainty-learning-2024-05-29_22-59-58-full-run,8,0.5,complete,multitask,pMAPE,43.188349916763904
108093,171,6,$\tilde{\Pi}^\mathit{pp}_B$,jump3r,uncertainty-learning-2024-05-29_22-59-58-full-run,28,1.5,partial,multitask,pMAPE,18.14295803184368
108094,172,26,$\tilde{\Pi}^\mathit{pp}_B$,xz,uncertainty-learning-2024-05-29_22-59-58-full-run,31,1,partial,multitask,pMAPE,67.91879366346184
108095,173,25,$\tilde{\Pi}^\mathit{pp}_B$,VP9,uncertainty-learning-2024-05-29_22-59-58-full-run,16,1,partial,multitask,pMAPE,31.422099456058472
108096,175,12,$\tilde{\Pi}^\mathit{cp}_B$,xz,uncertainty-learning-2024-05-29_22-59-58-full-run,3,0.125,complete,multitask,pMAPE,71.51816002743016
108097,177,1,$\tilde{\Pi}^\mathit{np}_B$,z3,uncertainty-learning-2024-05-29_22-59-58-full-run,6,0.5,no,multitask,pMAPE,257.3248008827656
108098,179,27,$\tilde{\Pi}^\mathit{pp}_B$,H2,uncertainty-learning-2024-05-29_22-59-58-full-run,2,0.125,partial,multitask,pMAPE,15.644651948296504
108099,180,3,$\tilde{\Pi}^\mathit{pp}_B$,H2,uncertainty-learning-2024-05-29_22-59-58-full-run,8,0.5,partial,multitask,pMAPE,8.82393945045237
108100,183,24,$\tilde{\Pi}^\mathit{pp}_B$,z3,uncertainty-learning-2024-05-29_22-59-58-full-run,13,1,partial,multitask,pMAPE,132.06135259944534
108101,187,9,$\tilde{\Pi}^\mathit{pp}_B$,xz,uncertainty-learning-2024-05-29_22-59-58-full-run,46,1.5,partial,multitask,pMAPE,58.4834288628318
108102,189,28,$\tilde{\Pi}^\mathit{pp}_B$,lrzip,uncertainty-learning-2024-05-29_22-59-58-full-run,16,1.5,partial,multitask,pMAPE,150.84418431822553
108103,191,20,$\tilde{\Pi}^\mathit{pp}_B$,x264,uncertainty-learning-2024-05-29_22-59-58-full-run,6,0.25,partial,multitask,pMAPE,61.70680801200415
108104,192,21,$\tilde{\Pi}^\mathit{np}_B$,z3,uncertainty-learning-2024-05-29_22-59-58-full-run,1,0.125,no,multitask,pMAPE,85.40956346398029
108105,196,26,$\tilde{\Pi}^\mathit{cp}_B$,jump3r,uncertainty-learning-2024-05-29_22-59-58-full-run,38,2,complete,multitask,pMAPE,15.9154464239161
108106,200,10,$\tilde{\Pi}^\mathit{cp}_B$,H2,uncertainty-learning-2024-05-29_22-59-58-full-run,16,1,complete,multitask,pMAPE,9.192643604898016
108107,203,13,$\tilde{\Pi}^\mathit{pp}_B$,lrzip,uncertainty-learning-2024-05-29_22-59-58-full-run,2,0.25,partial,multitask,pMAPE,257.7616864076724
108108,205,14,$\tilde{\Pi}^\mathit{pp}_B$,x264,uncertainty-learning-2024-05-29_22-59-58-full-run,13,0.5,partial,multitask,pMAPE,60.16965720352498
108109,206,10,$\tilde{\Pi}^\mathit{pp}_B$,x264,uncertainty-learning-2024-05-29_22-59-58-full-run,6,0.25,partial,multitask,pMAPE,61.79008114736476
108110,213,18,$\tilde{\Pi}^\mathit{pp}_B$,lrzip,uncertainty-learning-2024-05-29_22-59-58-full-run,8,0.75,partial,multitask,pMAPE,134.8121855375692
108111,214,26,$\tilde{\Pi}^\mathit{cp}_B$,xz,uncertainty-learning-2024-05-29_22-59-58-full-run,62,2,complete,multitask,pMAPE,63.47942268842615
108112,216,15,$\tilde{\Pi}^\mathit{cp}_B$,VP9,uncertainty-learning-2024-05-29_22-59-58-full-run,4,0.25,complete,multitask,pMAPE,67.90808488244282
108113,218,6,$\tilde{\Pi}^\mathit{cp}_B$,VP9,uncertainty-learning-2024-05-29_22-59-58-full-run,2,0.125,complete,multitask,pMAPE,174.78608230070685
108114,219,10,$\tilde{\Pi}^\mathit{pp}_B$,VP9,uncertainty-learning-2024-05-29_22-59-58-full-run,12,0.75,partial,multitask,pMAPE,28.50300026788241
108115,221,15,$\tilde{\Pi}^\mathit{np}_B$,z3,uncertainty-learning-2024-05-29_22-59-58-full-run,6,0.5,no,multitask,pMAPE,194.6823462044781
108116,222,14,$\tilde{\Pi}^\mathit{cp}_B$,x264,uncertainty-learning-2024-05-29_22-59-58-full-run,19,0.75,complete,multitask,pMAPE,56.560254887635445
108117,223,4,$\tilde{\Pi}^\mathit{pp}_B$,xz,uncertainty-learning-2024-05-29_22-59-58-full-run,7,0.25,partial,multitask,pMAPE,64.0082615422099
108118,224,0,$\tilde{\Pi}^\mathit{pp}_B$,x265,uncertainty-learning-2024-05-29_22-59-58-full-run,12,0.75,partial,multitask,pMAPE,38.55907861564613
108119,225,27,$\tilde{\Pi}^\mathit{cp}_B$,H2,uncertainty-learning-2024-05-29_22-59-58-full-run,4,0.25,complete,multitask,pMAPE,11.177194378482932
108120,226,18,$\tilde{\Pi}^\mathit{pp}_B$,lrzip,uncertainty-learning-2024-05-29_22-59-58-full-run,5,0.5,partial,multitask,pMAPE,128.3984308497564
108121,227,9,$\tilde{\Pi}^\mathit{np}_B$,batik,uncertainty-learning-2024-05-29_22-59-58-full-run,20,2,no,multitask,pMAPE,13.038047841069073
108122,228,1,$\tilde{\Pi}^\mathit{pp}_B$,jump3r,uncertainty-learning-2024-05-29_22-59-58-full-run,14,0.75,partial,multitask,pMAPE,18.307397594094184
108123,230,7,$\tilde{\Pi}^\mathit{pp}_B$,z3,uncertainty-learning-2024-05-29_22-59-58-full-run,1,0.125,partial,multitask,pMAPE,751.0390326969424
108124,236,29,$\tilde{\Pi}^\mathit{np}_B$,jump3r,uncertainty-learning-2024-05-29_22-59-58-full-run,57,3,no,multitask,pMAPE,16.718451506022024
108125,237,9,$\tilde{\Pi}^\mathit{pp}_B$,lrzip,uncertainty-learning-2024-05-29_22-59-58-full-run,16,1.5,partial,multitask,pMAPE,113.7208605333141
108126,238,24,$\tilde{\Pi}^\mathit{cp}_B$,xz,uncertainty-learning-2024-05-29_22-59-58-full-run,46,1.5,complete,multitask,pMAPE,56.564442741134016
108127,239,10,$\tilde{\Pi}^\mathit{cp}_B$,dconvert,uncertainty-learning-2024-05-29_22-59-58-full-run,12,0.75,complete,multitask,pMAPE,6.772880704453894
108128,241,12,$\tilde{\Pi}^\mathit{cp}_B$,VP9,uncertainty-learning-2024-05-29_22-59-58-full-run,12,0.75,complete,multitask,pMAPE,52.65119628068842
108129,245,7,$\tilde{\Pi}^\mathit{pp}_B$,jump3r,uncertainty-learning-2024-05-29_22-59-58-full-run,2,0.125,partial,multitask,pMAPE,63.55741210679204
108130,246,3,$\tilde{\Pi}^\mathit{pp}_B$,z3,uncertainty-learning-2024-05-29_22-59-58-full-run,6,0.5,partial,multitask,pMAPE,336.4869574225438
108131,247,28,$\tilde{\Pi}^\mathit{cp}_B$,xz,uncertainty-learning-2024-05-29_22-59-58-full-run,23,0.75,complete,multitask,pMAPE,58.803254790070966
108132,248,9,$\tilde{\Pi}^\mathit{cp}_B$,jump3r,uncertainty-learning-2024-05-29_22-59-58-full-run,4,0.25,complete,multitask,pMAPE,37.38527233599028
108133,249,3,$\tilde{\Pi}^\mathit{np}_B$,H2,uncertainty-learning-2024-05-29_22-59-58-full-run,2,0.125,no,multitask,pMAPE,12.507997176388177
108134,251,13,$\tilde{\Pi}^\mathit{np}_B$,jump3r,uncertainty-learning-2024-05-29_22-59-58-full-run,14,0.75,no,multitask,pMAPE,32.706000656096286
108135,252,7,$\tilde{\Pi}^\mathit{cp}_B$,VP9,uncertainty-learning-2024-05-29_22-59-58-full-run,4,0.25,complete,multitask,pMAPE,54.936133593006666
108136,253,5,$\tilde{\Pi}^\mathit{pp}_B$,dconvert,uncertainty-learning-2024-05-29_22-59-58-full-run,16,1,partial,multitask,pMAPE,4.515036938760471
108137,254,26,$\tilde{\Pi}^\mathit{np}_B$,H2,uncertainty-learning-2024-05-29_22-59-58-full-run,24,1.5,no,multitask,pMAPE,7.160395758948214
108138,255,16,$\tilde{\Pi}^\mathit{pp}_B$,batik,uncertainty-learning-2024-05-29_22-59-58-full-run,15,1.5,partial,multitask,pMAPE,12.168056353904058
108139,257,29,$\tilde{\Pi}^\mathit{pp}_B$,x265,uncertainty-learning-2024-05-29_22-59-58-full-run,24,1.5,partial,multitask,pMAPE,41.3363491300123
108140,259,16,$\tilde{\Pi}^\mathit{cp}_B$,batik,uncertainty-learning-2024-05-29_22-59-58-full-run,20,2,complete,multitask,pMAPE,14.087932507667666
108141,260,10,$\tilde{\Pi}^\mathit{pp}_B$,dconvert,uncertainty-learning-2024-05-29_22-59-58-full-run,8,0.5,partial,multitask,pMAPE,7.073838511733592
108142,261,7,$\tilde{\Pi}^\mathit{np}_B$,xz,uncertainty-learning-2024-05-29_22-59-58-full-run,93,3,no,multitask,pMAPE,61.94430622315351
108143,264,8,$\tilde{\Pi}^\mathit{cp}_B$,x264,uncertainty-learning-2024-05-29_22-59-58-full-run,39,1.5,complete,multitask,pMAPE,57.09199989983195
108144,265,3,$\tilde{\Pi}^\mathit{pp}_B$,jump3r,uncertainty-learning-2024-05-29_22-59-58-full-run,4,0.25,partial,multitask,pMAPE,58.431479660800136
108145,269,10,$\tilde{\Pi}^\mathit{pp}_B$,H2,uncertainty-learning-2024-05-29_22-59-58-full-run,16,1,partial,multitask,pMAPE,7.302895520663487
108146,271,13,$\tilde{\Pi}^\mathit{cp}_B$,lrzip,uncertainty-learning-2024-05-29_22-59-58-full-run,16,1.5,complete,multitask,pMAPE,121.34621796569374
108147,272,27,$\tilde{\Pi}^\mathit{pp}_B$,xz,uncertainty-learning-2024-05-29_22-59-58-full-run,3,0.125,partial,multitask,pMAPE,66.6682156863748
108148,274,2,$\tilde{\Pi}^\mathit{cp}_B$,x264,uncertainty-learning-2024-05-29_22-59-58-full-run,26,1,complete,multitask,pMAPE,55.40469801881741
108149,276,5,$\tilde{\Pi}^\mathit{pp}_B$,xz,uncertainty-learning-2024-05-29_22-59-58-full-run,15,0.5,partial,multitask,pMAPE,73.08763239538119
108150,278,29,$\tilde{\Pi}^\mathit{cp}_B$,batik,uncertainty-learning-2024-05-29_22-59-58-full-run,1,0.125,complete,multitask,pMAPE,27.77261884634225
108151,280,17,$\tilde{\Pi}^\mathit{cp}_B$,batik,uncertainty-learning-2024-05-29_22-59-58-full-run,10,1,complete,multitask,pMAPE,14.617682063984097
108152,281,28,$\tilde{\Pi}^\mathit{np}_B$,jump3r,uncertainty-learning-2024-05-29_22-59-58-full-run,38,2,no,multitask,pMAPE,17.603068182137697
108153,283,13,$\tilde{\Pi}^\mathit{pp}_B$,x265,uncertainty-learning-2024-05-29_22-59-58-full-run,12,0.75,partial,multitask,pMAPE,43.60959418259046
108154,284,20,$\tilde{\Pi}^\mathit{pp}_B$,z3,uncertainty-learning-2024-05-29_22-59-58-full-run,6,0.5,partial,multitask,pMAPE,279.94183017047203
108155,285,3,$\tilde{\Pi}^\mathit{pp}_B$,lrzip,uncertainty-learning-2024-05-29_22-59-58-full-run,11,1,partial,multitask,pMAPE,123.34637479737349
108156,286,27,$\tilde{\Pi}^\mathit{pp}_B$,z3,uncertainty-learning-2024-05-29_22-59-58-full-run,9,0.75,partial,multitask,pMAPE,219.90142450471157
108157,287,13,$\tilde{\Pi}^\mathit{cp}_B$,z3,uncertainty-learning-2024-05-29_22-59-58-full-run,6,0.5,complete,multitask,pMAPE,302.5894349160572
108158,288,18,$\tilde{\Pi}^\mathit{pp}_B$,x264,uncertainty-learning-2024-05-29_22-59-58-full-run,39,1.5,partial,multitask,pMAPE,53.25355697324506
108159,289,0,$\tilde{\Pi}^\mathit{cp}_B$,lrzip,uncertainty-learning-2024-05-29_22-59-58-full-run,1,0.125,complete,multitask,pMAPE,448.6957426749359
