,Unnamed: 0,params.rnd,Model,Subject System,params.exp_id,params.train_size,Relative Train Size,Pooling,params.experiment-type,Metric,Value
117403,6663,20,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,lrzip,uncertainty-learning-2024-05-30_17-49-03-full-run,2,0.25,no,multitask,pMAPE,224.5424830223546
117404,6664,7,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,lrzip,uncertainty-learning-2024-05-30_17-49-03-full-run,8,0.75,no,multitask,pMAPE,244.3315764737409
117405,6666,6,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,x265,uncertainty-learning-2024-05-30_17-49-03-full-run,2,0.125,no,multitask,pMAPE,141.1224053295077
117406,6670,10,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,xz,uncertainty-learning-2024-05-30_17-49-03-full-run,46,1.5,no,multitask,pMAPE,79.82760067633417
117407,6671,0,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,batik,uncertainty-learning-2024-05-30_17-49-03-full-run,30,3,no,multitask,pMAPE,12.447378370184708
117408,6672,24,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,z3,uncertainty-learning-2024-05-30_17-49-03-full-run,26,2,no,multitask,pMAPE,188.3739473958168
117409,6678,16,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,jump3r,uncertainty-learning-2024-05-30_17-49-03-full-run,2,0.125,no,multitask,pMAPE,56.47302355061874
117410,6683,27,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,VP9,uncertainty-learning-2024-05-30_17-49-03-full-run,24,1.5,no,multitask,pMAPE,50.15840400782628
117411,6694,28,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,x264,uncertainty-learning-2024-05-30_17-49-03-full-run,39,1.5,no,multitask,pMAPE,80.9961814130416
117412,6699,27,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,z3,uncertainty-learning-2024-05-30_17-49-03-full-run,13,1,no,multitask,pMAPE,271.2019111535273
117413,6700,9,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,dconvert,uncertainty-learning-2024-05-30_17-49-03-full-run,12,0.75,no,multitask,pMAPE,10.39691778819684
117414,6701,28,$\hat{\Pi}^\mathit{cp}_\mathit{Lasso}$,VP9,uncertainty-learning-2024-05-30_17-49-03-full-run,32,2,complete,multitask,pMAPE,39.97193937794215
117415,6703,8,$\hat{\Pi}^\mathit{cp}_\mathit{Lasso}$,x264,uncertainty-learning-2024-05-30_17-49-03-full-run,52,2,complete,multitask,pMAPE,70.6580406077905
117416,6705,0,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,x264,uncertainty-learning-2024-05-30_17-49-03-full-run,13,0.5,no,multitask,pMAPE,130.96327635473182
117417,6709,16,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,dconvert,uncertainty-learning-2024-05-30_17-49-03-full-run,8,0.5,no,multitask,pMAPE,12.937057226181793
117418,6711,9,$\hat{\Pi}^\mathit{cp}_\mathit{Lasso}$,xz,uncertainty-learning-2024-05-30_17-49-03-full-run,3,0.125,complete,multitask,pMAPE,98.04211232299028
117419,6714,3,$\hat{\Pi}^\mathit{cp}_\mathit{Lasso}$,x265,uncertainty-learning-2024-05-30_17-49-03-full-run,16,1,complete,multitask,pMAPE,57.48361448375864
117420,6718,7,$\hat{\Pi}^\mathit{cp}_\mathit{Lasso}$,batik,uncertainty-learning-2024-05-30_17-49-03-full-run,2,0.25,complete,multitask,pMAPE,47.15691683775584
117421,6721,1,$\hat{\Pi}^\mathit{cp}_\mathit{Lasso}$,dconvert,uncertainty-learning-2024-05-30_17-49-03-full-run,4,0.25,complete,multitask,pMAPE,13.74470155104162
117422,6725,24,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,VP9,uncertainty-learning-2024-05-30_17-49-03-full-run,12,0.75,no,multitask,pMAPE,117.46297151992523
117423,6726,14,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,xz,uncertainty-learning-2024-05-30_17-49-03-full-run,15,0.5,no,multitask,pMAPE,101.46660286962005
117424,6730,6,$\hat{\Pi}^\mathit{cp}_\mathit{Lasso}$,z3,uncertainty-learning-2024-05-30_17-49-03-full-run,1,0.125,complete,multitask,pMAPE,345.65235703975105
117425,6733,28,$\hat{\Pi}^\mathit{cp}_\mathit{Lasso}$,x264,uncertainty-learning-2024-05-30_17-49-03-full-run,3,0.125,complete,multitask,pMAPE,88.04591699525956
117426,6737,16,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,dconvert,uncertainty-learning-2024-05-30_17-49-03-full-run,2,0.125,no,multitask,pMAPE,21.804788271632795
117427,6745,15,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,batik,uncertainty-learning-2024-05-30_17-49-03-full-run,5,0.5,no,multitask,pMAPE,21.448597200821368
117428,6746,1,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,dconvert,uncertainty-learning-2024-05-30_17-49-03-full-run,2,0.125,no,multitask,pMAPE,16.98033581123607
117429,6747,11,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,x265,uncertainty-learning-2024-05-30_17-49-03-full-run,32,2,no,multitask,pMAPE,60.12850874215415
117430,6748,4,$\hat{\Pi}^\mathit{cp}_\mathit{Lasso}$,x264,uncertainty-learning-2024-05-30_17-49-03-full-run,19,0.75,complete,multitask,pMAPE,59.34509366521839
117431,6749,6,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,dconvert,uncertainty-learning-2024-05-30_17-49-03-full-run,48,3,no,multitask,pMAPE,5.797669245641498
117432,6752,4,$\hat{\Pi}^\mathit{cp}_\mathit{Lasso}$,x265,uncertainty-learning-2024-05-30_17-49-03-full-run,24,1.5,complete,multitask,pMAPE,57.072660068354985
117433,6754,0,$\hat{\Pi}^\mathit{cp}_\mathit{Lasso}$,VP9,uncertainty-learning-2024-05-30_17-49-03-full-run,4,0.25,complete,multitask,pMAPE,73.88657386492375
117434,6756,14,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,lrzip,uncertainty-learning-2024-05-30_17-49-03-full-run,2,0.25,no,multitask,pMAPE,284.5928743569079
117435,6759,2,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,H2,uncertainty-learning-2024-05-30_17-49-03-full-run,4,0.25,no,multitask,pMAPE,15.200751896355484
117436,6767,8,$\hat{\Pi}^\mathit{cp}_\mathit{Lasso}$,jump3r,uncertainty-learning-2024-05-30_17-49-03-full-run,14,0.75,complete,multitask,pMAPE,26.730811072433564
117437,6768,29,$\hat{\Pi}^\mathit{cp}_\mathit{Lasso}$,xz,uncertainty-learning-2024-05-30_17-49-03-full-run,46,1.5,complete,multitask,pMAPE,79.44292931363562
117438,6770,8,$\hat{\Pi}^\mathit{cp}_\mathit{Lasso}$,x265,uncertainty-learning-2024-05-30_17-49-03-full-run,8,0.5,complete,multitask,pMAPE,67.98079293759318
117439,6772,21,$\hat{\Pi}^\mathit{cp}_\mathit{Lasso}$,xz,uncertainty-learning-2024-05-30_17-49-03-full-run,62,2,complete,multitask,pMAPE,90.6614185736037
117440,6776,5,$\hat{\Pi}^\mathit{cp}_\mathit{Lasso}$,lrzip,uncertainty-learning-2024-05-30_17-49-03-full-run,8,0.75,complete,multitask,pMAPE,307.9934316805287
117441,6778,16,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,x264,uncertainty-learning-2024-05-30_17-49-03-full-run,39,1.5,no,multitask,pMAPE,75.18107634625618
117442,6780,13,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,jump3r,uncertainty-learning-2024-05-30_17-49-03-full-run,19,1,no,multitask,pMAPE,35.15864171258139
117443,6781,6,$\hat{\Pi}^\mathit{cp}_\mathit{Lasso}$,x264,uncertainty-learning-2024-05-30_17-49-03-full-run,3,0.125,complete,multitask,pMAPE,99.87718183415912
117444,6783,9,$\hat{\Pi}^\mathit{cp}_\mathit{Lasso}$,x264,uncertainty-learning-2024-05-30_17-49-03-full-run,52,2,complete,multitask,pMAPE,66.38116780902678
117445,6792,5,$\hat{\Pi}^\mathit{cp}_\mathit{Lasso}$,dconvert,uncertainty-learning-2024-05-30_17-49-03-full-run,16,1,complete,multitask,pMAPE,8.222162883812773
117446,6794,15,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,xz,uncertainty-learning-2024-05-30_17-49-03-full-run,93,3,no,multitask,pMAPE,79.410775459706
117447,6796,8,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,H2,uncertainty-learning-2024-05-30_17-49-03-full-run,48,3,no,multitask,pMAPE,9.430946121833529
117448,6797,1,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,xz,uncertainty-learning-2024-05-30_17-49-03-full-run,23,0.75,no,multitask,pMAPE,92.98611499249614
117449,6799,17,$\hat{\Pi}^\mathit{cp}_\mathit{Lasso}$,jump3r,uncertainty-learning-2024-05-30_17-49-03-full-run,28,1.5,complete,multitask,pMAPE,23.582725629557448
117450,6800,9,$\hat{\Pi}^\mathit{cp}_\mathit{Lasso}$,batik,uncertainty-learning-2024-05-30_17-49-03-full-run,30,3,complete,multitask,pMAPE,17.03674711863019
117451,6804,2,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,batik,uncertainty-learning-2024-05-30_17-49-03-full-run,2,0.25,no,multitask,pMAPE,29.68304425703557
117452,6806,25,$\hat{\Pi}^\mathit{cp}_\mathit{Lasso}$,x265,uncertainty-learning-2024-05-30_17-49-03-full-run,12,0.75,complete,multitask,pMAPE,59.3839312601496
117453,6810,19,$\hat{\Pi}^\mathit{np}_\mathit{Lasso}$,x264,uncertainty-learning-2024-05-30_17-49-03-full-run,39,1.5,no,multitask,pMAPE,80.41519348877138
